filename,category,course_number,course_title,session_number,session_date,session_content,session_learning_objectives,course_learning_objectives,lecturer
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",2,14 August,"Genetics, Molecular Biology & Human Health Learn about DNA structure, replication, gene expression. Understand Mendelian genetics. Understand mutations. Learn some basics of evolution. Introduction to molecular basis of some diseases.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get the ability to be more critical with all info involving science/tech surrounding us.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Sebastien Bertin-Maghit
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",3,21 August,"Introduction to Chemistry Learn the basics of chemistry and chemical reactions. Learn about catalysis, enzymes...","Understand the foundational principles of physics, chemistry, and biology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum. Get the ability to be more critical with all info involving science/tech surrounding us.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Chris Dixon
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",4,28 August,"Foundational Immunology. Concepts of Microbiology Main components of immunity and functions. Basics of immune responses and types of responses. Microbiology: what microbes are. Infectious diseases, antibiotics.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum. Get the ability to be more critical with all info involving science/tech surrounding us.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Sebastien Bertin-Maghit
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",5,04 September,Intro to physiology 1 Learn about cardiovascular and respiratory systems. Understand emerging infectious diseases and their connections to climate change. Get the key connections between vital body systems and the aggressions from a rapidly changing environment.,"Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Maxime Herve
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",6,11 September,"Intro to physiology 2 – Body Systems and Chemical Balance Understand body systems and their functions through anatomical and chemical perspectives, including digestive, musculoskeletal, excretory, nervous, endocrine reproductive, and integumentary system, to build a foundation for understanding diseases and therapies.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Ning Li
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",7,18 September,"Intro to physiology 3: Biology systems and personal healthcare Understand several biological and physiological systems related to personal healthcare from pain to sleep, oral care and mental & digestive wellness.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Maxime Herve
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",8,02 October,"Intro to food science Delve into the chemistry and biology of food science: bonds, energy, nutrition, microbiome.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Warinya Chemnasiri
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",9,09 October,"Body chemistry 1 - Brain Chemicals and Mood Explore how Internal brain molecules influence emotions, thoughts, and behavior. You will learn how Neurotransmitters like dopamine, serotonin, and endorphins influence mood, memory, stress, and mental health.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Ning Li
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",10,16 October,"Intro to thermodynamics, gas chemistry, heat transfer Understand the major thermodynamics principles that affect our daily life and alter the climate globally.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get the ability to be more critical with all info involving science/tech surrounding us.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Maxime Herve
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",11,30 October,"Plant biology, plants and human health, pharmaceutical active principles Essentials on plant biology: cell structure, photosynthesis. Medicinal plants and pharmaceuticals derived from plants (e.g. aspirin). Food security, selective breeding, GMOs (use genetic knowledge). Make a link between food and health, and other parameters affecting health, e.g. environment.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Develop critical thinking and problem-solving skills through project-based learning and real-world applications. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum. Get the ability to be more critical with all info involving science/tech surrounding us.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Sebastien Bertin-Maghit
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",12,06 November,"Body chemistry 2 - Pharmacology and the Membrane Frontier Learn how Learn how external substances interact with cells to affect health and treat disease. Cell membranes, transporters, ADME, drug-receptor interaction, supplements, pharmacological examples will be covered.","Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Ning Li
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",13,13 November,Translation from science to real life products Warinya Chemnasiri Learn about new materials addressing the challenges of sustainability. Understand how bio-mimicry can help create innovation (intro to soft robotics).,"Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Develop critical thinking and problem-solving skills through project-based learning and real-world applications.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Warinya Chemnasiri
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",14,19 November,Intro to MedTech Learn how science can translate into modern innovative medical technologies. Understand some current and recent medical technologies allowing better diagnostics and treatments.,"Understand the foundational principles of physics, chemistry, and biology. Grasp the interdisciplinary connections among these fields and their implications for advancements in science and technology. Develop critical thinking and problem-solving skills through project-based learning and real-world applications.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Warinya Chemnasiri
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",1 (6 Aug 2024),,Cognitive Evolution of Human Preference: Intersubjectivity in Metaverse,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",2 (13 Aug 2024),,Geographical Hypothesis by Jared Diamond (Pulitzer Prize Winner): The Logic of Agri-Tech and Monsanto,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",3 (20 Aug 2024),,Institutions on Innovation & Industrial Revolution by Daron Acemoglu (Nobel Nominee): Why do startups incorporate in US/Singapore?,,,Dr. Prateek Raj
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",4 (27 Aug 2024),,Market for Ideas by Joel Mokyr (Nobel Nominee): Will the blockchain really empower creators?,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",5 (3 Sep 2024),,Technological Progress in Long-Run by Robert Solow (Nobel Laureate) Why do governments subsidize innovations?,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",6 (10 Sep 2024),,Technological Progress in Short-Run by Edward Prescott (Nobel Laureate) Elon Musk’s First Principles and Euler Theorem,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",7 (17 Sep 2024),,Innovation on Inequality by Angus Deaton (Nobel Laureate) AI & Robotics with the Elasticity of Substitution,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",8 (1 Oct 2024),,Transaction Cost Economics by Ronald Coase (Nobel Laureates) Digital Transformation as Transactions,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",9 (8 Oct 2024),,Theory of Firm by Oliver Williamson (Nobel Laureate) Outsourcing cloud to Amazon Web Service,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",10 (15 Oct 2024),,Incomplete Contracts by Oliver Hart (Nobel Laureate) Why do TESLA pursue vertical integration?,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",11 (22 Oct 2024),,Theory of Non-cooperative Games by John Nash (Nobel Laureate) Oligopolistic Competition by Grab vs. Lineman,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",12 (29 Oct 2024),,Sustainable Finance by Matthew Dearth (Nanyang Technological University),,,Dr. Matthew Dearth
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",13 (5 Oct 2024),,Theory of Games with Incomplete Information by John Harsanyi (Nobel Laureate) Algorithms of Deep Minds & Chat GPT,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",14 (12 Oct 2024),,Presentations by Team & The Quiz,,,Dr. Francis D. Kim
"5600123-Economic Concepts for Innovator-S1,2024.docx",Trandisciplinary,5600123,"Economic Concepts for Innovator-S1,2024",15 (19 Oct 2024),,Presentations by Team,,,Dr. Francis D. Kim
Course-syllabus-5600124-Worldview lens.docx,Trandisciplinary,5600124,"THE WORLDVIEW LENS: IDEAS, HISTORY & GEOPOLITICS",1,7 Aug.,"Introduction to Trans-disciplinarity, course, course outline, and evaluations What is Trans-disciplinarity? Importance of Interdisciplinary Knowledge Overview of Course Topics",,"1. Identify and articulate the fundamental principles of key philosophical schools of thought and social theories.
2. Analyze significant historical events and movements, and assess their impact on contemporary global perspectives and state formations.
3. Evaluate and interpret key concepts in geopolitics, including global power dynamics, conflicts, and resource distribution, to understand current international relations.
Learning Contents/ Learning Schedule
AR, Chaloem Rajakumari 60 Building , 9.00 – 12.00 on Thursdays
14.3 Learning Outcomes","Wimonmat, Pongphisoot, Khatthaleeya"
Course-syllabus-5600124-Worldview lens.docx,Trandisciplinary,5600124,"THE WORLDVIEW LENS: IDEAS, HISTORY & GEOPOLITICS",2,14 Aug.,"Philosophy, Ethics, and Its Relevance Major Philosophical Schools of Thought Ethics, Politics, and Science Policy and Daily Decision-Making",,"1. Identify and articulate the fundamental principles of key philosophical schools of thought and social theories.
2. Analyze significant historical events and movements, and assess their impact on contemporary global perspectives and state formations.
3. Evaluate and interpret key concepts in geopolitics, including global power dynamics, conflicts, and resource distribution, to understand current international relations.
Learning Contents/ Learning Schedule
AR, Chaloem Rajakumari 60 Building , 9.00 – 12.00 on Thursdays
14.3 Learning Outcomes",Wimonmat
Course-syllabus-5600124-Worldview lens.docx,Trandisciplinary,5600124,"THE WORLDVIEW LENS: IDEAS, HISTORY & GEOPOLITICS",3,21 Aug.,"Social Theory and Everyday Life Key Social Theories: Structuralism, Functionalism, Conflict Theory Social Theory in Understanding Class, Gender, and Race",,"1. Identify and articulate the fundamental principles of key philosophical schools of thought and social theories.
2. Analyze significant historical events and movements, and assess their impact on contemporary global perspectives and state formations.
3. Evaluate and interpret key concepts in geopolitics, including global power dynamics, conflicts, and resource distribution, to understand current international relations.
Learning Contents/ Learning Schedule
AR, Chaloem Rajakumari 60 Building , 9.00 – 12.00 on Thursdays
14.3 Learning Outcomes",Wimonmat
Course-syllabus-5600124-Worldview lens.docx,Trandisciplinary,5600124,"THE WORLDVIEW LENS: IDEAS, HISTORY & GEOPOLITICS",4,28 Aug.,"Case Studies and Real-World Applications 1 Media and Popular Culture through Social Theory Social Theories in Modern Movements (e.g., Black Lives Matter, Feminism)",,"1. Identify and articulate the fundamental principles of key philosophical schools of thought and social theories.
2. Analyze significant historical events and movements, and assess their impact on contemporary global perspectives and state formations.
3. Evaluate and interpret key concepts in geopolitics, including global power dynamics, conflicts, and resource distribution, to understand current international relations.
Learning Contents/ Learning Schedule
AR, Chaloem Rajakumari 60 Building , 9.00 – 12.00 on Thursdays
14.3 Learning Outcomes",Wimonmat
Course-syllabus-5600124-Worldview lens.docx,Trandisciplinary,5600124,"THE WORLDVIEW LENS: IDEAS, HISTORY & GEOPOLITICS",5,4 Sept,"Case Studies and Real-World Applications 1 (continue) Social Theories and Global Policy Trends (e.g. aged society, affordable health care, domestic violence) Quiz",,"1. Identify and articulate the fundamental principles of key philosophical schools of thought and social theories.
2. Analyze significant historical events and movements, and assess their impact on contemporary global perspectives and state formations.
3. Evaluate and interpret key concepts in geopolitics, including global power dynamics, conflicts, and resource distribution, to understand current international relations.
Learning Contents/ Learning Schedule
AR, Chaloem Rajakumari 60 Building , 9.00 – 12.00 on Thursdays
14.3 Learning Outcomes",Wimonmat
Course-syllabus-5600124-Worldview lens.docx,Trandisciplinary,5600124,"THE WORLDVIEW LENS: IDEAS, HISTORY & GEOPOLITICS",6,11 Sept,"World History and Contemporary Context Major Historical Events and Their Impact Colonialism, Imperialism, and Modern State Formation History and Identity",,"1. Identify and articulate the fundamental principles of key philosophical schools of thought and social theories.
2. Analyze significant historical events and movements, and assess their impact on contemporary global perspectives and state formations.
3. Evaluate and interpret key concepts in geopolitics, including global power dynamics, conflicts, and resource distribution, to understand current international relations.
Learning Contents/ Learning Schedule
AR, Chaloem Rajakumari 60 Building , 9.00 – 12.00 on Thursdays
14.3 Learning Outcomes",Khatthaleeya
